problem,prompt_name,code_index,code_segment,Size,Min,Average,Max,Exception
p1_find_missing_number,prompt_1,1,['def funcImp(arg1):\n    total_sum = sum(arg1)\n    n = len(arg1) + 1\n    expected_sum = n * (n + 1) // 2\n    return expected_sum - total_sum'],1000,0.0002251,0.000230535,0.0002709,N/A
p1_find_missing_number,prompt_1,1,['def funcImp(arg1):\n    total_sum = sum(arg1)\n    n = len(arg1) + 1\n    expected_sum = n * (n + 1) // 2\n    return expected_sum - total_sum'],10000,0.0020706,0.002187748,0.0037824,N/A
p1_find_missing_number,prompt_1,1,['def funcImp(arg1):\n    total_sum = sum(arg1)\n    n = len(arg1) + 1\n    expected_sum = n * (n + 1) // 2\n    return expected_sum - total_sum'],100000,0.0651499,0.069339924,0.0912875,N/A
p1_find_missing_number,prompt_1,2,['def funcImp(arg1):\n    n = len(arg1)\n    expected_sum = n * (n + 1) // 2\n    actual_sum = sum(arg1)\n    missing_num = expected_sum - actual_sum\n    return missing_num'],1000,0.0002239,0.000229166,0.0002498,N/A
p1_find_missing_number,prompt_1,2,['def funcImp(arg1):\n    n = len(arg1)\n    expected_sum = n * (n + 1) // 2\n    actual_sum = sum(arg1)\n    missing_num = expected_sum - actual_sum\n    return missing_num'],10000,0.0020912,0.002172178,0.0029336,N/A
p1_find_missing_number,prompt_1,2,['def funcImp(arg1):\n    n = len(arg1)\n    expected_sum = n * (n + 1) // 2\n    actual_sum = sum(arg1)\n    missing_num = expected_sum - actual_sum\n    return missing_num'],100000,0.0656295,0.068907242,0.0779128,N/A
p1_find_missing_number,prompt_1,3,['def funcImp(arg1):\n    n = len(arg1)\n    total = (n + 1) * (n + 2) // 2\n    sum_of_arg1 = sum(arg1)\n    return total - sum_of_arg1'],1000,0.0002117,0.000226408,0.0002778,N/A
p1_find_missing_number,prompt_1,3,['def funcImp(arg1):\n    n = len(arg1)\n    total = (n + 1) * (n + 2) // 2\n    sum_of_arg1 = sum(arg1)\n    return total - sum_of_arg1'],10000,0.0020463,0.002107407,0.0029454,N/A
p1_find_missing_number,prompt_1,3,['def funcImp(arg1):\n    n = len(arg1)\n    total = (n + 1) * (n + 2) // 2\n    sum_of_arg1 = sum(arg1)\n    return total - sum_of_arg1'],100000,0.064796,0.068992851,0.1136006,N/A
p1_find_missing_number,prompt_1,4,['def funcImp(arg1):\n    n = len(arg1)\n    total_sum = (n + 1) * (n + 2) // 2\n    arr_sum = sum(arg1)\n    return total_sum - arr_sum'],1000,0.0002256,0.000235855,0.0003437,N/A
p1_find_missing_number,prompt_1,4,['def funcImp(arg1):\n    n = len(arg1)\n    total_sum = (n + 1) * (n + 2) // 2\n    arr_sum = sum(arg1)\n    return total_sum - arr_sum'],10000,0.001977,0.002147877,0.0032386,N/A
p1_find_missing_number,prompt_1,4,['def funcImp(arg1):\n    n = len(arg1)\n    total_sum = (n + 1) * (n + 2) // 2\n    arr_sum = sum(arg1)\n    return total_sum - arr_sum'],100000,0.0657799,0.069527198,0.0977471,N/A
p1_find_missing_number,prompt_1,5,"['def funcImp(arg1):\n    xor_result = 0\n    for num in arg1:\n        xor_result ^= num\n    for i in range(1, len(arg1) + 2):\n        xor_result ^= i\n    return xor_result']",1000,0.0035578,0.003736931,0.0040188,N/A
p1_find_missing_number,prompt_1,5,"['def funcImp(arg1):\n    xor_result = 0\n    for num in arg1:\n        xor_result ^= num\n    for i in range(1, len(arg1) + 2):\n        xor_result ^= i\n    return xor_result']",10000,0.0368517,0.038278122,0.0414809,N/A
p1_find_missing_number,prompt_1,5,"['def funcImp(arg1):\n    xor_result = 0\n    for num in arg1:\n        xor_result ^= num\n    for i in range(1, len(arg1) + 2):\n        xor_result ^= i\n    return xor_result']",100000,0.3796446,0.388874498,0.4150877,N/A
p1_find_missing_number,prompt_1,6,['def funcImp(arg1):\n    n = len(arg1) + 1\n    sum_total = n * (n + 1) / 2\n    sum_list = sum(arg1)\n    return int(sum_total - sum_list)'],1000,0.0002171,0.000227947,0.0002796,N/A
p1_find_missing_number,prompt_1,6,['def funcImp(arg1):\n    n = len(arg1) + 1\n    sum_total = n * (n + 1) / 2\n    sum_list = sum(arg1)\n    return int(sum_total - sum_list)'],10000,0.0020005,0.002113197,0.0026496,N/A
p1_find_missing_number,prompt_1,6,['def funcImp(arg1):\n    n = len(arg1) + 1\n    sum_total = n * (n + 1) / 2\n    sum_list = sum(arg1)\n    return int(sum_total - sum_list)'],100000,0.0657723,0.068355175,0.0775091,N/A
